sport,field_name,entity_level,required_columns,example_row,validation_rules,cutoff_safe_requirement,source_required,source_url_hash_required,notes
"mlb","attendance","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""attendance"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","retrosheet_game_logs","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","venue","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""venue"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","retrosheet_game_logs","sha256(source_url)","refactor schema aliases and revalidate against existing rows"
"mlb","play_id","play","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""play_id"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","retrosheet_play_by_play_events","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","inning","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""inning"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","defensive_positions_mlb_stats_api","sha256(source_url)","refactor schema aliases and revalidate against existing rows"
"mlb","batting_team","play","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""batting_team"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","retrosheet_play_by_play_events","sha256(source_url)","refactor schema aliases and revalidate against existing rows"
"mlb","fielding_team","play","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""fielding_team"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","retrosheet_play_by_play_events","sha256(source_url)","refactor schema aliases and revalidate against existing rows"
"mlb","batter_id","play","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""batter_id"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","retrosheet_play_by_play_events","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","pitcher_id","play","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""pitcher_id"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","retrosheet_play_by_play_events","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","event_type","play","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""event_type"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","retrosheet_play_by_play_events","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","runs_scored","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""runs_scored"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","standings_mlb_stats_api","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","game_pk","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""game_pk"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","statcast_batted_ball_research_lane","sha256(source_url)","keep source disabled and use approved alternatives only"
"mlb","at_bat_number","player","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""at_bat_number"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","pitch_by_pitch_research_lane","sha256(source_url)","keep source disabled and use approved alternatives only"
"mlb","pitch_number","player","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""pitch_number"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","pitch_by_pitch_research_lane","sha256(source_url)","keep source disabled and use approved alternatives only"
"mlb","pitcher","player","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""pitcher"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","pitch_by_pitch_research_lane","sha256(source_url)","keep source disabled and use approved alternatives only"
"mlb","batter","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""batter"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","statcast_batted_ball_research_lane","sha256(source_url)","keep source disabled and use approved alternatives only"
"mlb","pitch_type","player","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""pitch_type"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","pitch_by_pitch_research_lane","sha256(source_url)","keep source disabled and use approved alternatives only"
"mlb","release_speed","player","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""release_speed"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","pitch_by_pitch_research_lane","sha256(source_url)","keep source disabled and use approved alternatives only"
"mlb","plate_x","player","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""plate_x"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","pitch_by_pitch_research_lane","sha256(source_url)","keep source disabled and use approved alternatives only"
"mlb","plate_z","player","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""plate_z"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","pitch_by_pitch_research_lane","sha256(source_url)","keep source disabled and use approved alternatives only"
"mlb","description","team","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""description"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","structured_wiki_seed","sha256(source_url)","create manual import template and request curated input"
"mlb","playerID","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""playerID"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","minor_league_links_chadwick","sha256(source_url)","refactor schema aliases and revalidate against existing rows"
"mlb","yearID","team","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""yearID"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","draft_lahman","sha256(source_url)","create manual import template and request curated input"
"mlb","stint","player","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""stint"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","pitching_stats_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","teamID","team","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""teamID"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","draft_lahman","sha256(source_url)","create manual import template and request curated input"
"mlb","AB","player","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""AB"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","batting_stats_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","H","player","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""H"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","batting_stats_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","HR","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""HR"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","team_stats_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","RBI","player","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""RBI"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","batting_stats_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","BB","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""BB"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","team_stats_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","SO","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""SO"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","team_stats_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","W","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""W"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","team_stats_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","L","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""L"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","team_stats_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","ERA","player","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""ERA"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","pitching_stats_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","G","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""G"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","fielding_stats_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","GS","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""GS"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","fielding_stats_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","IPouts","player","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""IPouts"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","pitching_stats_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","pos","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""pos"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","fielding_stats_lahman","sha256(source_url)","refactor schema aliases and revalidate against existing rows"
"mlb","InnOuts","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""InnOuts"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","fielding_stats_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","PO","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""PO"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","fielding_stats_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","A","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""A"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","fielding_stats_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","E","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""E"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","fielding_stats_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","R","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""R"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","team_stats_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","RA","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""RA"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","team_stats_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","birthYear","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""birthYear"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","player_master_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","birthMonth","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""birthMonth"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","player_master_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","birthDay","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""birthDay"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","player_master_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","nameFirst","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""nameFirst"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","player_master_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","nameLast","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""nameLast"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","player_master_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","debut","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""debut"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","player_master_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","finalGame","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""finalGame"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","player_master_lahman","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","team_id","staff","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""team_id"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","managers_coaches_mlb_stats_api","sha256(source_url)","create manual import template and request curated input"
"mlb","player_id","team","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""player_id"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","manual_csv_import","sha256(source_url)","create manual import template and request curated input"
"mlb","status","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""status"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","lineups_mlb_stats_api","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","jersey_number","player","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""jersey_number"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","rosters_mlb_stats_api","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","position","official","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""position"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","umpires_officials_mlb_stats_api","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","full_name","player","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""full_name"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","rosters_mlb_stats_api","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","bat_side","player","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""bat_side"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","rosters_mlb_stats_api","sha256(source_url)","refactor schema aliases and revalidate against existing rows"
"mlb","pitch_hand","player","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""pitch_hand"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","rosters_mlb_stats_api","sha256(source_url)","refactor schema aliases and revalidate against existing rows"
"mlb","transaction_id","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""transaction_id"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","transactions_mlb_stats_api","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","date","market","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""date"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","market_odds_blocked","sha256(source_url)","request paid retrieval approval and re-run discovery"
"mlb","type","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""type"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","transactions_mlb_stats_api","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","report_date","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""report_date"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","injuries_mlb_stats_api","sha256(source_url)","refactor schema aliases and revalidate against existing rows"
"mlb","injury_note","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""injury_note"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","injuries_mlb_stats_api","sha256(source_url)","refactor schema aliases and revalidate against existing rows"
"mlb","expected_return","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""expected_return"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","injuries_mlb_stats_api","sha256(source_url)","refactor schema aliases and revalidate against existing rows"
"mlb","batting_order","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""batting_order"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","lineups_mlb_stats_api","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","probable","player","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""probable"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","probable_pitchers_mlb_stats_api","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","hand","player","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""hand"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","probable_pitchers_mlb_stats_api","sha256(source_url)","refactor schema aliases and revalidate against existing rows"
"mlb","game_date","venue","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""game_date"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","weather_mlb_stats_api","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","start_flag","player","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""start_flag"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","starting_pitchers_mlb_stats_api","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","innings_pitched","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""innings_pitched"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","bullpen_usage_mlb_stats_api","sha256(source_url)","promote validated rows into the completed field catalog"
"mlb","pitch_count","game","source_url_hash,validated_value,validated_at,source_id","{""field_name"": ""pitch_count"", ""source_url_hash"": ""sha256(url)"", ""sport"": ""mlb"", ""validated_value"": ""example""}","must match approved source metadata; no raw payloads","true for pregame/context fields; explicit cutoff for in-season fields","bullpen_usage_mlb_stats_api","sha256(source_url)","promote validated rows into the completed field catalog"
